"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1552639_at",2.99585017919142,-0.667788620043123,0.181983063403807,-3.66950972004108,0.000243016098072599,0.0165809926623593
"1552848_a_at",4.26333749200357,-0.597509247594052,0.154084247370186,-3.8778087818318,0.000105401507406411,0.00827548807353843
"1553394_a_at",4.90605676636899,1.62971557039058,0.174030797262737,9.3645239579646,7.63938818231689e-21,1.32033755055837e-17
"1553410_a_at",2.43313755978071,0.667315011095065,0.196759932312922,3.39151880797451,0.000695063924291968,0.0379435588809469
"1553434_at",4.20770037663995,1.62247806571829,0.166463855299283,9.74672887877828,1.90508039150879e-22,4.17149103060709e-19
"1553542_at",3.62705755897683,0.681157138253944,0.167445733155413,4.06792771256665,4.74330902308053e-05,0.00429161571343959
"1553602_at",6.24133627159344,1.52240421270686,0.218458744661497,6.96884079905262,3.19563065585385e-12,1.42025895654377e-09
"1553603_s_at",6.13321563900807,-0.443229618974382,0.122975002455533,-3.60422533136073,0.00031308534840575,0.0203966048298582
"1553613_s_at",7.49565086996735,-0.860188856418896,0.11624535296659,-7.39976983566925,1.36420744139287e-13,8.02520479030725e-11
"1553798_a_at",2.61886870145289,-0.840712058766832,0.201908521913499,-4.16382652301823,3.12957931366778e-05,0.00306077516300005
"1553962_s_at",5.11462490727645,0.601478106497961,0.137235418153704,4.38281978945335,1.17153017414871e-05,0.00131927686525421
"1553972_a_at",5.56950928877612,-0.549390160827117,0.132324810609737,-4.15183032037297,3.29826773194571e-05,0.00319405219623853
"1554020_at",3.31704900387084,-1.04512574919879,0.181912019824783,-5.74522645730309,9.17980462116032e-09,2.34943389180788e-06
"1554063_at",3.92540658149879,-0.553900100539376,0.158646757981376,-3.4914051039379,0.00048048711750377,0.0286691714438023
"1554242_a_at",2.96804830631106,-0.865754918443489,0.185048828295458,-4.67852148223918,2.8895090148336e-06,0.000394073039137202
"1554712_a_at",4.52855138191129,0.635945889964431,0.141986256399899,4.47892567977362,7.50196452532643e-06,0.000896007363033987
"1555203_s_at",4.02726241386789,0.586412710172991,0.159293800078353,3.68132789778728,0.000232022382010471,0.0160156395176195
"1555416_a_at",3.64958985297192,0.743867801591162,0.162042819457924,4.5905631861973,4.42051606188067e-06,0.000576921258486638
"1555487_a_at",4.52256405810756,-0.700982446104216,0.146409295606015,-4.78782746138297,1.68596498236071e-06,0.00024887874087927
"1555788_a_at",2.82100293602896,0.69758683148065,0.18610974522166,3.7482552600876,0.000178068979121803,0.0130940498938559
"1556194_a_at",4.80954159492727,-0.494776275127557,0.144858090247938,-3.41559297296203,0.000636432991419236,0.0354299010223132
"1556420_s_at",4.00447225041172,0.520189764791539,0.156275246360429,3.32867665805361,0.000872596457011299,0.0453129338032192
"1556474_a_at",3.71771053113944,1.42038556961221,0.188091979006035,7.55154779655243,4.30115637989887e-14,2.73428673479571e-11
"1556654_at",4.24137897191874,0.850734608475051,0.154557330814641,5.50433036072116,3.70574087320148e-08,8.39414199864155e-06
"1556655_s_at",4.70856278935679,0.644402255690007,0.143430882576497,4.4927720175348,7.03020338954607e-06,0.000852579804294058
"1556666_a_at",3.75124613659886,0.727677299056436,0.175873855758132,4.13749556987688,3.51117226267062e-05,0.00337534984294877
"1557155_a_at",4.64083618635163,-0.847413220389793,0.14489345199826,-5.84852668428363,4.95946089983693e-09,1.31189390541056e-06
"1557758_at",3.40753339449186,0.586923177082988,0.158929302070635,3.69298278817166,0.000221639029358608,0.015599429827036
"1558164_s_at",2.45556187817282,-0.709861833935807,0.205702081586779,-3.45092197638429,0.000558675053912198,0.0320239754129817
"1558996_at",5.51409014075401,0.461593160496847,0.13110515066659,3.52078585890734,0.000430269939762001,0.0262112201016685
"1559051_s_at",2.72019558882733,-0.709964715079312,0.189916047377272,-3.73830818871747,0.000185262758731162,0.0134925277438099
"1559078_at",5.52519280384563,-0.614017446528864,0.126255757386574,-4.86328274637683,1.15454736993555e-06,0.000178147822304808
